Signatur;Titel;Form und Inhalt;Entstehungszeitraum;Bemerkungen zur Datierung;Bemerkungen zum Umfang;Sprachen;ID
B-I-ALBEG-7;Thomas Mann an Gerhard Albersheim;Kopie des Briefes vom 10.02.1946 aus Pacific Palisades, handschriftlich;10.02.1946;Daten fehlen;2 Bl./2 S.;Deutsch;99143
B-I-ALBEG-8;Thomas Mann an Gerhard Albersheim;Kopie des Briefes vom 19.06.1946 aus Pacific Palisades, handschriftlich;19.06.1946;Daten fehlen;1 Bl./1 S.;Deutsch;89296
B-I-ALBEG-9;Thomas Mann an Gerhard Albersheim;Kopie des Briefes ohne Datum, Anfang Januar 1947 (gem�ss Regest, Datumsangabe wurde recherchiert), aus Pacific Palisades, handschriftlich;1.1947;ohne Datum, Anfang Januar 1947 - gem�ss Regest, Datumsangabe wurde recherchiert;1 Bl./1 S.;Deutsch;84013
B-I-ALBEG-10;Thomas Mann an Gerhard Albersheim;Kopie des Briefes vom 16.01.1948 aus Pacific Palisades, handschriftlich;16.01.1948;Daten fehlen;2 Bl./2 S.;Deutsch;73058
B-I-ALBEG-11;Thomas Mann an Gerhard Albersheim;Kopie des Briefes vom 13.03.1949 aus Pacific Palisades, handschriftlich;13.03.1949;Daten fehlen;2 Bl./2 S.;Deutsch;73486
B-I-ALBEG-12;Thomas Mann an Gerhard Albersheim;Kopie der Postkarte vom 21.12.1950 ohne Ort, gem�ss Regest aus Pacific Palisades, handschriftlich;21.12.1950;Daten fehlen;1 Bl./1 S.;Deutsch;118360
B-I-ALBEG-13;Thomas Mann an Gerhard Albersheim;Kopie der Postkarte vom 27.12.1951 ohne Ort, aus Pacific Palisades (gem�ss Regest), handschriftlich;27.12.1951;Daten fehlen;1 Bl./1 S.;Deutsch;101774
B-I-ALBEG-14;Thomas Mann an Gerhard Albersheim;Kopie des Briefes vom 09.02.1953 aus Erlenbach, handschriftlich;09.02.1953;Daten fehlen;2 Bl./2 S.;Deutsch;35714
B-I-ALBEG-15;Thomas Mann an Gerhard Albersheim;Kopie der Ansichtskarte vom 17.06.1953 aus Erlenbach, handschriftlich;17.06.1953;Daten fehlen;1 Bl./1 S.;Deutsch;24939
B-I-ALBER-1.1;Thomas Mann an Elisabeth Albert;"Brief, Original, aus Chicago, handschriftlich.
Zus�tzlich vermerkt: Stempel vom Josef-Ponten Archiv und von Dr. Elisabet Albert auf der R�ckseite";24.04.1950;Daten fehlen;1 Bl./2 S.;Deutsch;48154
B-I-ALBER-1.2;Thomas Mann an Elisabeth Albert;Abschrift des Briefes vom 24.04.1950 aus Chicago, maschinenschriftlich;24.04.1950;Daten fehlen;1 Bl./1 S.;Deutsch;135931
B-I-ALBER-2;Thomas Mann an Elisabeth Albert;Dankeskarte, Original, aus Z�rich, gedruckt;08.06.1950;Daten fehlen;1 Karte/2 S.;Deutsch;50188
B-I-ALBER-3;Thomas Mann an Elisabeth Albert;"Brief, Original, aus Z�rich, maschinenschriftlich.
Zus�tzlich vermerkt: Stempel vom Josef-Ponten Archiv und von Dr. Elisabet Albert am unteren Briefrand";12.12.1952;Daten fehlen;1 Bl./1 S.;Deutsch;35700
B-I-ALBERL-1;Thomas Mann an Lee Albert;Durchschlag zum Brief vom 21.01.1950 ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;21.01.1950;Daten fehlen;1 Bl./1 S.;Englisch;37492
B-I-ALBERM-1;Thomas Mann an Myron Albert;Durchschlag zum Brief vom 03.07.1948 ohne Ort, aus Pacific Palisades (gem�ss Regest), maschinenschriftlich;03.07.1948;Daten fehlen;1 Bl./1 S.;Englisch;120833
B-I-ALBR-1;Thomas Mann an Beatrice Albrecht;Durchschlag zum Brief vom 12.01.1946 ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;12.01.1946;Daten fehlen;1 Bl./1 S.;Deutsch;71982
B-I-ALEG-1;Thomas Mann an Fernando Alegr�a;Durchschlag zum Brief vom 14.10.1949 ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;14.10.1949;Daten fehlen;1 Bl./1 S.;Englisch;76352
B-I-ALEME-1;Thomas Mann an Ernesto F. Alemann;Durchschlag zum Brief vom 01.05.1945 ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;01.05.1945;Daten fehlen;1 Bl./1 S.;Deutsch;55255
B-I-ALEXF-1;Sekretariat Thomas Mann an Friedrich George Alexan;"Durchschlag zum Brief vom 28.12.1943 ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich.
Zus�tzlich vermerkt: geschrieben und unterzeichnet von der Sekret�rin";28.12.1943;Daten fehlen;1 Bl./1 S.;Deutsch;114541
B-I-ALEXG-1;Thomas Mann an Gross W. Alexander;Durchschlag zum Brief vom 22.08.1941 ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;22.08.1941;Daten fehlen;1 Bl./1 S.;Englisch;80387
B-I-ALEXG-2;Thomas Mann an Gross W. Alexander;Durchschlag zum Brief vom 26.09.1941 aus Pacific Palisades, maschinenschriftlich;26.09.1941;Daten fehlen;1 Bl./1 S.;Englisch;102709
B-I-ALEXR-1;Thomas Mann an Raymond Pace Alexander;Durchschlag zum Brief vom 16.07.1945 ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;16.07.1945;Daten fehlen;1 Bl./1 S.;Englisch;60151
B-I-ALFA-1;Thomas Mann an Dean Alfange;Durchschlag zum Brief vom 03.06.1941 ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;03.06.1941;Daten fehlen;1 Bl./1 S.;Englisch;37815
B-I-ALFA-2;Thomas Mann an Dean Alfange;Durchschlag zum Brief vom 18.06.1941 ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;18.06.1941;Daten fehlen;1 Bl./1 S.;Englisch;128446
B-I-ALFA-3;Thomas Mann an Dean Alfange;"Kopie des Durchschlags zum Brief vom 03.07.1941, ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich.
Zus�tzlich vermerkt: der Originaldurchschlag befindet sich auf der R�ckseite eines Blattes mit einem Durchschlag zum Brief vom 18.04.1941 an den Amerikanischen Konsul in Sydney (vgl. American Consul General, Sydney, Australia)";03.07.1941;Daten fehlen;1 Bl./1 S.;Englisch;64855
B-I-ALFH-1;Thomas Mann an Helen Lucy Alfred;Durchschlag zum Brief vom 05.04.1950 ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;05.04.1950;Daten fehlen;1 Bl./1 S.;Englisch;87356
B-I-ALFW-1;Thomas Mann an William Alfred;Durchschlag zum Brief vom 28.02.1944 ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;28.02.1944;Daten fehlen;1 Bl./1 S.;Englisch;135189
B-I-ALFW-2;Thomas Mann an William Alfred;Durchschlag zum Brief vom 20.06.1944 ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;20.06.1944;Daten fehlen;1 Bl./2 S.;Englisch;26961
B-I-ALFW-3;Thomas Mann an William Alfred;Durchschlag zum Brief vom 05.07.1944 ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;05.07.1944;Daten fehlen;1 Bl./1 S.;Englisch;140398
B-I-ALFW-4;Thomas Mann an William Alfred;Durchschlag zum Brief vom 14.07.1944 aus Pacific Palisades, maschinenschriftlich;14.07.1944;Daten fehlen;1 Bl./1 S.;Englisch;67715
B-I-ALFW-5;Sekretariat Thomas Mann an William Alfred;"Durchschlag zum Brief vom 03.08.1944 ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich.
Zus�tzlich vermerkt: geschrieben und unterzeichnet vom Sekretariat";03.08.1944;Daten fehlen;1 Bl./1 S.;Englisch;48274
B-I-ALFW-6;Thomas Mann an William Alfred;Durchschlag zum Brief vom 16.10.1944 ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;16.10.1944;Daten fehlen;1 Bl./1 S.;Englisch;53497
B-I-ALFW-7;Thomas Mann an William Alfred;Durchschlag zum Brief vom 12.01.1945 ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;12.01.1945;Daten fehlen;1 Bl./1 S.;Englisch;63891
B-I-ALFW-8;Thomas Mann an William Alfred;Durchschlag zum Brief vom 30.03.1945 ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;30.03.1945;Daten fehlen;1 Bl./2 S.;Englisch;118619
B-I-ALGE-1;Thomas Mann an Joseph Alger;Durchschlag zum Telegramm vom 04.12.1939 aus Princeton, maschinenschriftlich;04.12.1939;Daten fehlen;1 Bl./2 S.;Englisch;81001
B-I-ALLEE-1;Thomas Mann an Edward J. Allen;Durchschlag zum Brief vom 23.02.1946 ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;23.02.1946;Daten fehlen;1 Bl./1 S.;Englisch;49983
B-I-ALLEL-1;Thomas Mann an Lewis Allan (= Allen);Durchschlag zum Brief vom 06.11.1945 ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;06.11.1945;Daten fehlen;1 Bl./1 S.;Englisch;84294
B-I-ALLG-1.1;Thomas Mann an den Allgemeinen Schriftsteller-Verein, Berlin;Formular zur Einziehung eines Nachdruckshonorars, ohne Datum und ohne Ort, etwa Ende 1914 aus M�nchen (gem�ss Regest, Datums- und Ortsangabe wurde recherchiert), vorgedruckt, mit handschriftlichen Erg�nzungen;1914;ohne Datum, etwa Ende 1914 - gem�ss Regest, Datumsangabe wurde recherchiert;1 Bl./1 S.;Deutsch;127914
B-I-ALLG-1.2;Thomas Mann an den Allgemeinen Schriftsteller-Verein, Berlin;"Kopie des Formulars zur Einziehung eines Nachdruckshonorars, ohne Datum und ohne Ort, etwa Ende 1914 aus M�nchen (gem�ss Regest, Datums- und Ortsangabe wurde recherchiert), vorgedruckt, mit handschriftlichen Erg�nzungen.
Kopie des Briefumschlags";1914;ohne Datum, etwa Ende 1914 - gem�ss Regest, Datumsangabe wurde recherchiert;2 Bl./2 S.;Deutsch;24184
B-I-ALME-1;Thomas Mann an Miguel Ozorio de Almeida, Presidente Academia Brasileira;Durchschlag zum Brief vom 14.10.1949, ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;14.10.1949;Daten fehlen;1 Bl./1 S.;Englisch;109008
B-I-ALMS-1;Thomas Mann an Hermann Almstedt;Durchschlag zum Brief vom 24.09.1948 aus Pacific Palisades, maschinenschriftlich;24.09.1948;Daten fehlen;1 Bl./1 S.;Englisch;56352
B-I-ALPH-1;Thomas Mann an Hollis Alpert;Durchschlag zum Brief vom 01.05.1940 ohne Ort, gem�ss Regest aus Princeton, maschinenschriftlich;01.05.1940;Daten fehlen;1 Bl./1 S.;Englisch;86056
B-I-ALPK-1;Thomas Mann an Karl Alph�us;Kopie des Briefes vom 11.09.1925 aus M�nchen, handschriftlich;11.09.1925;Daten fehlen;4 Bl./4 S.;Deutsch;86083
B-I-ALPK-2;Thomas Mann an Karl Alph�us;Kopie der Postkarte vom 26.09.1925 aus Casamicciola, handschriftlich;26.09.1925;Daten fehlen;2 Bl./2 S.;Deutsch;25785
B-I-ALTE-1;Thomas Mann an Paul Altenberg;"Auktionskatalogsauszug zum Brief vom 22.02.1953 aus Erlenbach, gedruckt (fragmentarisch).
Zus�tzlich vermerkt: Beschreibung mit Abbildung der ersten Briefseite";22.02.1953;Daten fehlen;3 Bl./3 S.;Deutsch;109068
B-I-ALTE-2;Thomas Mann an Paul Altenberg;Auktionskatalogsauszug zum Brief vom 08.04.1955 aus Kilchberg, gedruckt (fragmentarisch);08.04.1955;Daten fehlen;2 Bl./2 S.;Deutsch;43589
B-I-ALTH-1;Thomas Mann an Heinz Alth�fer;Kopie des Briefes vom 15.08.1954 aus Sils-Maria, maschinenschriftlich, mit handschriftlichen Korrekturen;15.08.1954;Daten fehlen;1 Bl./1 S.;Deutsch;119644
B-I-ALTL-1.1;Thomas Mann an Ludwig Altman;Kopie des Briefes vom 20.06.1943 aus Pacific Palisades, handschriftlich;20.06.1943;Daten fehlen;1 Bl./1 S.;Deutsch;59553
B-I-ALTL-1.2;Thomas Mann an Ludwig Altman;Abschrift des Briefes vom 20.06.1943 aus Pacific Palisades, maschinenschriftlich;20.06.1943;Daten fehlen;1 Bl./1 S.;Deutsch;89799
B-I-ALTM-1;Thomas Mann an Horst Altmann und Freund;"Abschrift des Briefes vom 01.01.1952 aus Pacific Palisades, maschinenschriftlich.
Zus�tzlich vermerkt: mit handschriftlichen Bleistift-Notizen";01.01.1952;Daten fehlen;1 Bl./1 S.;Deutsch;104579
B-I-ALTN-1;Thomas Mann an Siegfried Altmann, Austrian Institute, New York;Kopie der Briefkarte vom 27.10.1943, ohne Ort, vermutlich aus New York, handschriftlich;27.10.1943;Daten fehlen;1 Bl./2 S.;Deutsch;94441
B-I-ALTN-2;Thomas Mann an Siegfried Altmann, Austrian Institute, New York;Kopie des Briefes vom 08.09.1948 aus Pacific Palisades, handschriftlich;08.09.1948;Daten fehlen;1 Bl./2 S.;Deutsch;56607
B-I-ALTN-3;Thomas Mann an Siegfried Altmann, Austrian Institute, New York;Kopie des Briefes vom 03.11.1948 aus Pacific Palisades, maschinenschriftlich;03.11.1948;Daten fehlen;1 Bl./2 S.;Deutsch;61835
B-I-ALTS-1;Thomas Mann an Frank Altschul;Durchschlag zum Brief vom 16.01.1939 aus Princeton, maschinenschriftlich;16.01.1939;Daten fehlen;2 Bl./2 S.;Englisch;24880
B-I-ALTS-2;Thomas Mann an Frank Altschul;Durchschlag zum Brief vom 23.01.1939 ohne Ort, gem�ss Regest aus Princeton, maschinenschriftlich;23.01.1939;Daten fehlen;1 Bl./1 S.;Englisch;87650
B-I-ALTS-3;Thomas Mann an Frank Altschul;Durchschlag zum Brief vom 27.01.1939 ohne Ort, gem�ss Regest aus Princeton, maschinenschriftlich;27.01.1939;Daten fehlen;2 Bl./2 S.;Englisch;127880
B-I-AMAN-1;Thomas Mann an Paul Amann;Kopie des Briefes vom 21.02.1915 aus M�nchen, handschriftlich;21.02.1915;Daten fehlen;4 Bl./7 S.;Deutsch;53961
B-I-AMAN-2;Thomas Mann an Paul Amann;Kopie des Briefes vom 25.03.1915 aus M�nchen, handschriftlich;25.03.1915;Daten fehlen;4 Bl./8 S.;Deutsch;52020
B-I-AMAN-3;Thomas Mann an Paul Amann;Kopie des Briefes vom 13.06.1915 aus M�nchen, handschriftlich;13.06.1915;Daten fehlen;2 Bl./3 S.;Deutsch;139347
B-I-AMAN-4;Thomas Mann an Paul Amann;"Kopie des Briefes vom 03.08.1915 aus M�nchen, fortgesetzt am 07.08.1915 in Bad T�lz, handschriftlich.
Kopie des Briefumschlags";03.08.1915 - 07.08.1915;begonnen am 03.08.1915 in M�nchen, fortgesetzt am 07.08.1915 in Bad T�lz;5 Bl./9 S. + 1 Bl./2 S.;Deutsch;132663
B-I-AMAN-5;Thomas Mann an Paul Amann;Kopie des Briefes vom 10.09.1915 aus Bad T�lz, handschriftlich;10.09.1915;Daten fehlen;5 Bl./10 S.;Deutsch;53721
B-I-AMAN-6;Thomas Mann an Paul Amann;"Kopie des Briefes vom 01.10.1915 aus Bad T�lz, handschriftlich.
Kopie des Briefumschlags";01.10.1915;Daten fehlen;5 Bl./10 S. + 1 Bl./1 S.;Deutsch;64002
B-I-AMAN-7;Thomas Mann an Paul Amann;Kopie der Postkarte vom 21.10.1915 aus M�nchen, handschriftlich;21.10.1915;Daten fehlen;1 Bl./2 S.;Deutsch;46141
B-I-AMAN-8;Thomas Mann an Paul Amann;Kopie des Briefes vom 07.11.1915 aus M�nchen, handschriftlich;07.11.1915;Daten fehlen;1 Bl./2 S.;Deutsch;142576
B-I-AMAN-9;Thomas Mann an Paul Amann;Kopie des Briefes vom 25.02.1916 aus M�nchen, handschriftlich;25.02.1916;Daten fehlen;5 Bl./10 S.;Deutsch;59142
B-I-AMAN-10;Thomas Mann an Paul Amann;Kopie des Briefes vom 17.03.1916 aus M�nchen, handschriftlich;17.03.1916;Daten fehlen;2 Bl./4 S.;Deutsch;131765
B-I-AMAN-11;Thomas Mann an Paul Amann;Kopie der Ansichtskarte vom 26.03.1916 aus M�nchen, handschriftlich;26.03.1916;Daten fehlen;1 Bl./2 S.;Deutsch;97182
B-I-AMAN-12;Thomas Mann an Paul Amann;Kopie des Briefes vom 15.04.1916 aus Bad T�lz, handschriftlich;15.04.1916;Daten fehlen;2 Bl./3 S.;Deutsch;72029
B-I-AMAN-13;Thomas Mann an Paul Amann;"Kopie des Briefes vom ""Ostersonntag 1916"" (23.04.1916, gem�ss Regest, Datumsangabe wurde recherchiert) aus Bad T�lz, handschriftlich";23.04.1916;"Brief datiert ""am Ostersonntag 1916"" = 23.04.1916 - gem�ss Regest, Datumsangabe wurde recherchiert";3 Bl./5 S.;Deutsch;63467
B-I-AMAN-14;Thomas Mann an Paul Amann;Kopie des Briefes vom 08.05.1916 aus Bad T�lz, handschriftlich;08.05.1916;Daten fehlen;1 Bl./2 S.;Deutsch;103086
B-I-AMAN-15;Thomas Mann an Paul Amann;Kopie des Briefes vom 27.06.1916 aus M�nchen, handschriftlich;27.06.1916;Daten fehlen;2 Bl./4 S.;Deutsch;118441
B-I-AMAN-16;Thomas Mann an Paul Amann;Kopie des Briefes vom 05.09.1916 aus Bad T�lz, handschriftlich;05.09.1916;Daten fehlen;1 Bl./4 S.;Deutsch;112480
B-I-AMAN-17;Thomas Mann an Paul Amann;Kopie des Briefes vom 08.10.1916 aus M�nchen, handschriftlich;08.10.1916;Daten fehlen;4 Bl./7 S.;Deutsch;102829
B-I-AMAN-18;Thomas Mann an Paul Amann;Kopie des Briefes vom 25.11.1916 aus M�nchen, handschriftlich;25.11.1916;Daten fehlen;4 Bl./7 S.;Deutsch;116039
B-I-AMAN-19;Thomas Mann an Paul Amann;Kopie des Briefes vom 16.12.1916 aus M�nchen, handschriftlich;16.12.1916;Daten fehlen;3 Bl./6 S.;Deutsch;117320
B-I-AMAN-20;Thomas Mann an Paul Amann;Kopie des Briefes vom 31.01.1917 aus M�nchen, handschriftlich;31.01.1917;Daten fehlen;2 Bl./4 S.;Deutsch;45583
B-I-AMAN-21;Thomas Mann an Paul Amann;Kopie der Postkarte vom 03.03.1917 aus M�nchen, handschriftlich;03.03.1917;Daten fehlen;1 Bl./2 S.;Deutsch;61817
B-I-AMAN-22;Thomas Mann an Paul Amann;Kopie des Briefes vom 25.03.1917 aus M�nchen, handschriftlich;25.03.1917;Daten fehlen;4 Bl./8 S.;Deutsch;58777
B-I-AMAN-23;Thomas Mann an Paul Amann;Kopie des Briefes vom 16.04.1917 aus M�nchen, handschriftlich;16.04.1917;Daten fehlen;2 Bl./4 S.;Deutsch;58625
B-I-AMAN-24;Thomas Mann an Paul Amann;Kopie des Briefes vom 22.04.1917 aus M�nchen, handschriftlich;22.04.1917;Daten fehlen;1 Bl./2 S.;Deutsch;94879
B-I-AMAN-25;Thomas Mann an Paul Amann;Kopie des Briefes vom 30.06.1917 aus M�nchen, handschriftlich;30.06.1917;Daten fehlen;2 Bl./4 S.;Deutsch;86324
B-I-AMAN-26;Thomas Mann an Paul Amann;Kopie des Briefes vom 29.07.1917 aus Bad T�lz, handschriftlich;29.07.1917;Daten fehlen;2 Bl./4 S.;Deutsch;91725
B-I-AMAN-27;Thomas Mann an Paul Amann;Kopie des Briefes vom 27.08.1917 aus Bad T�lz, handschriftlich;27.08.1917;Daten fehlen;2 Bl./4 S.;Deutsch;81044
B-I-AMAN-28;Thomas Mann an Paul Amann;Kopie des Briefes vom 02.03.1918 aus M�nchen, handschriftlich;02.03.1918;Daten fehlen;2 Bl./4 S.;Deutsch;32082
B-I-AMAN-29;Thomas Mann an Paul Amann;Kopie der Postkarte vom 23.05.1918 aus M�nchen, handschriftlich;23.05.1918;Daten fehlen;1 Bl./2 S.;Deutsch;52829
B-I-AMAN-30;Thomas Mann an Paul Amann;Kopie des Briefes vom 11.07.1918 aus M�nchen, handschriftlich;11.07.1918;Daten fehlen;4 Bl./4 S.;Deutsch;110211
B-I-AMAN-31;Thomas Mann an Paul Amann;"Kopie des Briefes vom 07.02.1935 aus K�snacht, handschriftlich.
Kopie des Briefumschlags";07.02.1935;Daten fehlen;2 Bl./3 S.;Deutsch;124384
B-I-AMAN-32;Thomas Mann an Paul Amann;"Kopie des Briefes vom 21.02.1936 aus K�snacht, handschriftlich.
Kopie des Briefumschlags";21.02.1936;Daten fehlen;2 Bl./3 S.;Deutsch;50001
B-I-AMAN-33;Thomas Mann an Paul Amann;"Kopie des Briefes vom 14.10.1936 aus K�snacht, handschriftlich.
Kopie des Briefumschlags";14.10.1936;Daten fehlen;2 Bl./3 S.;Deutsch;27156
B-I-AMAN-34;Thomas Mann an Paul Amann;"Kopie des Briefes vom 25.11.1936 aus K�snacht, handschriftlich.
Kopie des Briefumschlags";25.11.1936;Daten fehlen;2 Bl./4 S.;Deutsch;117973
B-I-AMAN-35;Thomas Mann an Paul Amann;Kopie des Briefes vom 23.03.1937 aus K�snacht, handschriftlich;23.03.1937;Daten fehlen;1 Bl./2 S.;Deutsch;42956
B-I-AMAN-36;Thomas Mann an Paul Amann;"Kopie des Briefes ohne Datum, vor 13.09.1937 (gem�ss Regest, Datumsangabe wurde recherchiert), aus K�snacht, maschinenschriftlich.
Zus�tzlich vermerkt: Briefbogen von �Ma� und Wert�";9.1937;ohne Datum - gem�ss Regest vor 13.09.1937;1 Bl./1 S.;Deutsch;89295
B-I-AMAN-37;Thomas Mann an Paul Amann;Kopie des Briefes vom 13.09.1937 aus K�snacht, maschinenschriftlich, mit handschriftlichen Korrekturen;13.09.1937;Daten fehlen;1 Bl./2 S.;Deutsch;63846
B-I-AMAN-38;Thomas Mann an Paul Amann;Kopie des Briefes vom 15.05.1942 aus Pacific Palisades, handschriftlich;15.05.1942;Daten fehlen;4 Bl./4 S.;Deutsch;57958
B-I-AMAN-39.1;Thomas Mann an Paul Amann;"Durchschlag zum Brief vom 14.01.1944 aus Pacific Palisades, maschinenschriftlich.
Beilage: Durchschlag des im Brief erw�hnten Empfehlungsschreibens, maschinenschriftlich";14.01.1944;Daten fehlen;1 Bl./2 S. + 1 Bl./1 S.;Deutsch;107140
B-I-AMAN-39.2;Thomas Mann an Paul Amann;Kopie des Briefes vom 14.01.1944 aus Pacific Palisades, maschinenschriftlich, mit handschriftlichem Nachtrag;14.01.1944;Daten fehlen;2 Bl./2 S.;Deutsch;52940
B-I-AMAN-40;Thomas Mann an Paul Amann;Kopie des Briefes vom 11.12.1945 aus Pacific Palisades, handschriftlich;11.12.1945;Daten fehlen;1 Bl./2 S.;Deutsch;118750
B-I-AMAN-41;Thomas Mann an Paul Amann;Kopie des Briefes vom 26.06.1948 aus Pacific Palisades, handschriftlich;26.06.1948;Daten fehlen;2 Bl./3 S.;Deutsch;112061
B-I-AMAN-42;Thomas Mann an Paul Amann;Kopie des Briefes vom 21.11.1948 (irrt�mlich datiert: 21.10.1948, gem�ss Regest) aus Pacific Palisades, handschriftlich;21.11.1948;irrt�mlich datiert: 21.10.1948 - gem�ss Regest;1 Bl./2 S.;Deutsch;78606
B-I-AMAN-43;Katia, Erika und Thomas Mann an Paul Amann;Kopie der Dankeskarte vom Juni 1949 aus Z�rich, gedruckt, mit handschriftlichem Gruss;6.1949;Daten fehlen;1 Bl./1 S.;Deutsch;141646
B-I-AMAN-44;Thomas Mann an Paul Amann;"Kopie des Briefes vom 07.11.1950 aus Pacific Palisades, handschriftlich.
Kopie des Briefumschlags";07.11.1950;Daten fehlen;2 Bl./3 S. + 1 Bl./2 S.;Deutsch;69177
B-I-AMAN-45;Thomas Mann an Paul Amann;Kopie der Ansichtskarte vom 23.12.1950 ohne Ort, gem�ss Regest aus Pacific Palisades, mit Poststempel aus Los Angeles, handschriftlich;23.12.1950;Daten fehlen;1 Bl./2 S.;Deutsch;70336
B-I-AMAN-46;Thomas Mann an Paul Amann;Kopie der Ansichtskarte vom 29.03.1951 ohne Ort, gem�ss Regest aus Pacific Palisades, handschriftlich;29.03.1951;Daten fehlen;1 Bl./2 S.;Deutsch;85837
B-I-AMAN-47;Thomas Mann an Paul Amann;"Kopie des Briefes vom 03.06.1951 aus Pacific Palisades, handschriftlich.
Kopie des Briefumschlags";03.06.1951;Daten fehlen;3 Bl./6 S.;Deutsch;101955
B-I-AMAN-48;Thomas Mann an Paul Amann;Kopie des Briefes vom 09.10.1951 aus Pacific Palisades, handschriftlich;09.10.1951;Daten fehlen;2 Bl./3 S.;Deutsch;132142
B-I-AMAN-49;Thomas Mann an Paul Amann;"Kopie des Briefes vom 07.11.1951 aus Pacific Palisades, handschriftlich.
Kopie des Briefumschlags";07.11.1951;Daten fehlen;2 BL./4 S.;Deutsch;100187
B-I-AMAN-50;Thomas Mann an Paul Amann;"Kopie des Briefes vom 23.12.1951 aus Pacific Palisades, handschriftlich.
Kopie des Briefumschlags";23.12.1951;Daten fehlen;2 Bl./3 S. + 1 Bl./2 S.;Deutsch;55727
B-I-AMAN-51;Thomas Mann an Paul Amann;Kopie des Briefes vom 19.06.1952 aus Pacific Palisades, handschriftlich;19.06.1952;Daten fehlen;1 Bl./2 S.;Deutsch;129764
B-I-AMAN-52;Thomas Mann an Paul Amann;Kopie der Ansichtskarte vom 01.12.1952 aus Z�rich, handschriftlich;01.12.1952;Daten fehlen;1 Bl./2 S.;Deutsch;80188
B-I-AMAOA-1;Thomas Mann und Katia Mann an 'The American Academy of Arts and Letters', New York;Durchschlag zur Briefkarte vom 04.12.1938, ohne Ort, gem�ss Regest aus Princeton, maschinenschriftlich;04.12.1938;Daten fehlen;1 Bl./1 S.;Englisch;127918
B-I-AMAS-1;Thomas Mann an die American Academy of Arts and Sciences, Boston;Durchschlag zum Brief vom 30.11.1949, ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;30.11.1949;Daten fehlen;1 Bl./1 S.;Englisch;131779
B-I-AMCC-1;Thomas Mann an 'The American Committee for Christian Regufees', New York;Durchschlag zum Brief vom 02.10.1941, ohne Ort, gem�ss Regest aus Pacific Palisades, maschinenschriftlich;02.10.1941;Daten fehlen;1 Bl./1 S.;Englisch;49292
